Commodity_Name,Emissions,ktPJ,GWP
AviationFuel,CH4S,0.003,25
AviationFuel,CMOX,0.028,0
AviationFuel,CO2S,72.32,1
AviationFuel,N2OS,6.00E-04,298
AviationFuel,NMVS,0.014,0
AviationFuel,NOXS,0.22,0
AviationFuel,SOXS,0.04606,0
BiomassOther,CH4S,0,25
BiomassOther,CMOX,0,0
BiomassOther,CO2S,0,1
BiomassOther,N2OS,0,298
BiomassOther,NMVS,0,0
BiomassOther,NOXS,0,0
BiomassOther,SOXS,0,0
Coal,CH4S,0.001,25
Coal,CMOX,0.02,0
Coal,CO2S,96.01428571,1
Coal,N2OS,0.001414286,298
Coal,NMVS,0.005,0
Coal,NOXS,0.3,0
Coal,SOXS,0.6262,0
Diesel,CH4S,0.003,25
Diesel,CMOX,0.015,0
Diesel,CO2S,74.0667,1
Diesel,N2OS,6.00E-04,298
Diesel,NMVS,0.005,0
Diesel,NOXS,0.2,0
Diesel,SOXS,0.2529,0
GAS,CH4S,0.038146541,25
GAS,CMOX,0.02,0
GAS,CO2S,56.1,1
GAS,N2OS,1.00E-04,298
GAS,NMVS,0.005,0
GAS,NOXS,0.15,0
GAS,SOXS,,0
Gasoline,CH4S,0.003,25
Gasoline,CMOX,8,0
Gasoline,CO2S,69.3,1
Gasoline,N2OS,6.00E-04,298
Gasoline,NMVS,1.5,0
Gasoline,NOXS,0.6,0
Gasoline,SOXS,0.0467,0
HFO,CH4S,0.003,25
HFO,CMOX,0.01,0
HFO,CO2S,77.4,1
HFO,N2OS,6.00E-04,298
HFO,NMVS,0.005,0
HFO,NOXS,0.2,0
HFO,SOXS,1.5291,0
LPG,CH4S,0.003,25
LPG,CMOX,0.182,0
LPG,CO2S,63.1,1
LPG,N2OS,1.00E-04,298
LPG,NMVS,0.0237,0
LPG,NOXS,0.01246,0
LPG,SOXS,5.409,0
Kerosene,CH4S,0.003,25
Kerosene,CMOX,0.028,0
Kerosene,CO2S,72.32,1
Kerosene,N2OS,6.00E-04,298
Kerosene,NMVS,0.014,0
Kerosene,NOXS,0.22,0
Kerosene,SOXS,0.04606,0
