Commodity,Commodity_Name
TRAEVP,Electricity
TRAEVF,Electricity
TRABGS,BlendedGasoline
GIV,CPTGas
GAS,GAS
ELC,Electricity
ACTGRP,GAS
AGRCH4S,
AGRCMOX,
AGRCO2S,
AGRCOA,Coal
AGRELC,Electricity
AGRN2OS,
AGRNMVS,
AGRNOXS,
AGRODS,Diesel
AGROGS,Gasoline
AGROHF,HFO
AGROKE,AviationFuel
AGROLP,LPG
AGRP10S,
AGRSOXS,
BBE,BiomassOther
BCA,BiomassOther
BIB,BiomassOther
BID,BioDiesel
BIE,BioEthanol
BIG,BiomassOther
BIO,BiomassOther
BIW,BiomassOther
BSR,BiomassOther
BSY,BiomassOther
CH4RF,
CH4S,
CH4SF,
CLD,Coal
CLE,Coal
CMOX,
CO2EQS,
CO2S,
CO2SF,
COA,Coal
COK,Coal
COMCH4S,
COMCMOX,
COMCO2S,
COMCOA,Coal
COMELC,Electricity
COMGAS,GAS
COMN2OS,
COMNMVS,
COMNOXS,
COMODS,Diesel
COMOGS,Gasoline
COMOHF,HFO
COMOKE,AviationFuel
COMOLP,LPG
COMP10S,
COMSOXS,
CRB,
ELCC,Electricity
GIB,GAS
GIC,GAS
GIH,GAS
GIM,GAS
GRL,GAS
GRM,GAS
GRN,GAS
GRS,GAS
GWL,GAS
HEE,
HEN,
HET,
HGN,Hydrogen
HYD,Hydro
INDBIB,BiomassOther
INDBIW,BiomassOther
INDCH4S,
INDCMOX,
INDCO2S,
INDCOA,Coal
INDCOK,Coal
INDELC,Electricity
INDGAS,GAS
INDN2OS,
INDNMVS,
INDNOXS,
INDODS,Diesel
INDOGS,Gasoline
INDOHF,HFO
INDOLP,LPG
INDP10S,
INDSOXS,
INDWAS,BiomassOther
MTH,Methanol
N2OS,
NMVS,
NOXS,
NUC,Nuclear
OAG,AviationGasoline
OCR,Crude Oil
ODS,Diesel
OGS,Gasoline
OHF,HFO
OKE,AviationFuel
OLP,LPG
PWRBIB,BiomassOther
PWRBIG,BiomassOther
PWRBIO,BiomassOther
PWRBIW,BiomassOther
PWRCH4R,
PWRCH4S,
PWRCLD,Coal
PWRCLE,Coal
PWRCMOR,
PWRCMOX,
PWRCO2R,
PWRCO2S,
PWRCRB,
PWRGAS,GAS
PWRGIC,GAS
PWRGIH,GAS
PWRGRM,GAS
PWRGRN,GAS
PWRGRS,GAS
PWRHYD,Hydro
PWRN2OR,
PWRN2OS,
PWRNMVR,
PWRNMVS,
PWRNOXR,
PWRNOXS,
PWRNUC,Nuclear
PWRODS,Diesel
PWRP10R,
PWRP10S,
PWRSOL,Solar
PWRSOXR,
PWRSOXS,
PWRWND,Wind
RESBIW,BiomassOther
RESCH4S,
RESCMOX,
RESCO2S,
RESCOA,Coal
RESELC,Electricity
RESGAS,GAS
RESN2OS,
RESNMVS,
RESNOXS,
RESOKE,AviationFuel
RESOLP,LPG
RESP10S,
RESSOXS,
SOL,Methanol
SOXS,
TRACH4S,
TRACMOX,
TRACO2S,
TRAELC,Electricity
TRAGAS,GAS
TRAHGN,Hydrogen
TRAN2OS,
TRANMVS,
TRANOXS,
TRAOAG,AviationFuel
TRAODS,Diesel
TRAOGS,Gasoline
TRAOHF,HFO
TRAOKE,AviationFuel
TRAP10S,
TRASOXS,
UPSBID,BioDiesel
UPSBIE,BioEthanol
UPSCH4S,
UPSCLE,Coal
UPSCMOX,
UPSCO2S,
UPSELC,Electricity
UPSGAS,GAS
UPSGIC,GAS
UPSHEE,
UPSHEN,
UPSN2OS,
UPSNMVS,
UPSNOXS,
UPSOCR,Crude Oil
UPSOHF,HFO
UPSP10S,
UPSSOXS,
WAS,
WAT,Water
WND,Wind
ZZZ,
AH,
AI,
AO,
AP,
AT,
CEC,
CEG,
CEH,
CEK,
CEL,
CEO,
CER,
CET,
CEW,
CNC,
CNG,
CNH,
CNK,
CNL,
CNO,
CNR,
CNT,
CNW,
ICPA,
ICPC,
ICPE,
ICPF,
ICPH,
ICPK,
ICPL,
ICPO,
ICPP,
ICPS,
ICPT,
IFBA,
IFBC,
IFBE,
IFBF,
IFBH,
IFBK,
IFBL,
IFBO,
IFBP,
IFBS,
IMIA,
IMIC,
IMIE,
IMIF,
IMIH,
IMIK,
IMIL,
