Process,TechDescription,Sector,Subsector,Subsubsector
AHCOA-E,Agriculture - Heating-Coal - Existing             ,Agriculture,Agriculture,Other
AHELC-E,Agriculture - Heating - Electricity - Room - Exist,Agriculture,Agriculture,Other
AHOHF-E,Agriculture - Heating - Oil HFO- Existing         ,Agriculture,Agriculture,Other
AHOKE-E,Agriculture - Heating - Oil Paraffin- Existing    ,Agriculture,Agriculture,Other
AHOLP-E,Agriculture - Heating - Oil LPG- Existing         ,Agriculture,Agriculture,Other
AIELC-E,Agriculture - Irrigation - Electricity - Existing ,Agriculture,Agriculture,Other
AIODS-E,Agriculture - Irrigation - Oil Diesel - Existing  ,Agriculture,Agriculture,Other
AIOGS-E,Agriculture - Irrigation - Oil Gasoline - Existing,Agriculture,Agriculture,Other
AOELC-E,Agriculture - Other - Electricity - Existing      ,Agriculture,Agriculture,Other
APELC-E,Agriculture - Processing - Electricity - Existing ,Agriculture,Agriculture,Other
ATELC-E,Agriculture - Traction - Electricity - Existing   ,Agriculture,Agriculture,Other
ATODS-E,Agriculture - Traction - Oil Diesel - Existing    ,Agriculture,Agriculture,Other
ATOGS-E,Agriculture - Traction - Oil Gasoline - Existing  ,Agriculture,Agriculture,Other
CECELCCEN-E,Commercial - Cooling - Electricity - Central - Exi,Commerce,ComExisting,Cooling
CECELCCEN-N,Commercial - Cooling - Electricity - Central - New,Commerce,ComExisting,Cooling
CECELCCHIL-E,Commercial - Cooling - Electricity - Chiller - Exi,Commerce,ComExisting,Cooling
CECELCHP-E,Commercial - Cooling - Electricity - Heat Pump - E,Commerce,ComExisting,Cooling
CECELCHP-N,Commercial - Cooling - Electricity - Heat Pump - N,Commerce,ComExisting,Cooling
CECELCROOM-E,Commercial - Cooling - Electricity - Room - Existi,Commerce,ComExisting,Cooling
CEGELCHAL-E,Commercial - Public Lights - Electricity - HAL - E,Commerce,ComExisting,Public Lights
CEGELCHPM-E,Commercial - Public Lights - Electricity - HPM - E,Commerce,ComExisting,Public Lights
CEGELCHPS-E,Commercial - Public Lights - Electricity - HPS - E,Commerce,ComExisting,Public Lights
CEGELCINC-E,Commercial - Public Lights - Electricity - INC - E,Commerce,ComExisting,Public Lights
CEGELCLED-N,Commercial - Public Lights - Electricity - LED - N,Commerce,ComExisting,Public Lights
CEGELCMHL-E,Commercial - Public Lights - Electricity - MHL - E,Commerce,ComExisting,Public Lights
CEHCOA-E,Commercial - Space Heating - Coal - Existing      ,Commerce,ComExisting,Space Heating
CEHELC-E,Commercial - Space Heating - Electricity - Existin,Commerce,ComExisting,Space Heating
CEHELC-N,Commercial - Space Heating - Electricity - New    ,Commerce,ComExisting,Space Heating
CEHGAS-E,Commercial - Space Heating - Gas - Existing       ,Commerce,ComExisting,Space Heating
CEHGAS-N,Commercial - Space Heating - Gas - New            ,Commerce,ComExisting,Space Heating
CEKCOA-E,Commercial - Cooking - Coal - Existing            ,Commerce,ComExisting,Cooking
CEKELC-E,Commercial - Cooking - Electricity - Existing     ,Commerce,ComExisting,Cooking
CEKOLP-E,Commercial - Cooking - Oil LPG - Existing         ,Commerce,ComExisting,Cooking
CELELCCFL-E,Commercial - Lighting - Electricity - CFL - Existi,Commerce,ComExisting,Lighting
